basisofrecord,country,stateprovince,seq,institutioncode,collectioncode,catalognumber,scientificname,yearcollected,monthcollected,daycollected,collector,collectornumber,fieldnumber,county,locality,longitude,latitude,notes
PreservedSpecimen,Brasil,Amazonas,1,INPA,INPA,170693,Strophocactus wittii,1991,8,4,"Mori, SA",21931,,,,-60.483333,-2.866667,
PreservedSpecimen,Brasil,Amazonas,2,INPA,INPA,170812,Strophocactus wittii,1987,10,22,"Farney, C de S.",1767,,São Gabriel da Cachoeira,"Rio Xié, São Marcelino",-67.2,0.916667,"Brasil Estado do Amazonas, Mun. de São Gabriel da Cachoeira, São Marcelino, foz do rio Xié. Epífita; caule achatado foliáceo, verde e vináceo em certos segmentos, material estéril. Mudas para o cultivo no JB.; Catinga."
PreservedSpecimen,Brasil,Amazonas,3,INPA,INPA,190932,Strophocactus wittii,1992,6,23,"Mori, SA",22497,,,Rio Negro. Santo Antonio,-60.966667,-2.4,"Epiphyte with stems appressed to tree trunk, reddish. Flower 12 cm. diameter; tube 15.3 cm. long x 1.2 c, diameter, red with white hairs and redbracts. Outer tepals red, others white. Filaments white, anthers off-white. Anthesis at 2"
PreservedSpecimen,Brasil,Amazonas,4,INPA,INPA,203872,Strophocactus wittii,2000,6,5,"Mattos, FD de A.",1027,,Carauari,Lago do Caroçal,-67.7,-5.7,"Erva epífita. Inflorescência vermelho claro, botão floral jovem da mesma cor. Floresta de igapó."
PreservedSpecimen,Brasil,Amazonas,5,INPA,INPA,216256,Strophocactus wittii,2005,7,7,"Viana, GP",1,,Manaus,"Campus do INPA, Campus I do INPA, CPBO.",-59.985833,-3.096111,Epífita em um tronco de tauarí branco.
PreservedSpecimen,Brasil,Amazonas,6,INPA,INPA,63305,Strophocactus wittii,1976,10,18,"Prance, GT",23921,,,"Rio Javari, Tambaqui, Epiphyte; fruit green tinted red; seeds black.",-63.652625,-5.122262,Rio Javari. Tambaqui.; Varzea forest.
PreservedSpecimen,Brasil,Amazonas,7,INPA,INPA,64162,Strophocactus wittii,1977,4,20,"Rodrigues, WA",9699,,Manaus,"Campus I do INPA, Estrada do Aleixo, Campus do INPA, perto do Herbário.",-59.985833,-3.096111,Epífita em árvore cultivada; flores branco-rosadas; pétalas brancas.
PreservedSpecimen,Brasil,Amazonas,8,INPA,INPA,86505,Strophocactus wittii,1979,7,1,"Maia, LA",276,,Santa Isabel do Rio Negro,"Tapuruquara, Rio Negro, perto de Tapuruquara. Em árvore de igapó.",-64.920815,-0.446571,
PreservedSpecimen,Brasil,Pará,9,INPA,INPA,117443,Selenicereus setaceus,1980,6,3,"Davidson, C",10040,,Oriximinã,"BR 163, Estrada oriximiná-Cachoeira Trombetas (BR-163). ca. 30km north of Oriximiná, terra firme. tall forest with bertholletia, lecythis, some henquartia, 50m elev, forest understory hasbeen cut recently.",-56.449722,-2.282556,Epiphtic a dead fall. brances creeping over the ground.
PreservedSpecimen,Brasil,Pará,10,INPA,INPA,125328,Epiphyllum phyllanthus,1978,11,11,"Santos, MR dos",274,,Almeirim,"Monte Dourado, Monte Dourado, estrada de Água Azul.",-52.2,-0.8,Epífita sobre árvore caída. Frutos vermelhos maduros.; Mata de terra firme. Solo argilo-arenoso.
