gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,eventType
912502882,,,,,,,,,,,,,,,,,,,,,,,,,,K000634442,,,,,,,,,,CC_BY_4_0,,,2013-04-10T14:03:56.260Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000634442,K000634442,1586,"Magenta, M.; Conffani-Nunes, J.V.; Kameyama, C.; Forzza, R.C.",,,,,,,,,,,,,PRESENT,,,,,,,,Material prensado em álcool.,,,,,,,,,,,2000-07-31T00:00:00,,,,2000,7,31,,,,,,,,Planta rupícula. Flores róseas com estemes cremes.,,,Nova Roma,SOUTH_AMERICA,,,,BR,,,Nova Roma,Estrada Nova Roma - Teresina de Goiás,,,,,,,,,-13.65,-47,0.2,,,,,,,,,,label,,,,,,,,,,,,,,,,,,,,,,,,,"Zappi, D.C.",,,,,,,,,,,,,,Arrojadoa rhodantha (Gürke) Britton & Rose,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Arrojadoa,Arrojadoa,,,rhodantha,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:27.367Z,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7282709,7282709,6,7707728,220,422,2519,3231933,,7282709,Arrojadoa rhodantha,Arrojadoa rhodantha (Gürke) Britton & Rose,Arrojadoa rhodantha (Guerke) Britton & Rose,,DWC_ARCHIVE,2023-06-07T14:58:27.367Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.9_1,Goiás,BRA.9.164_2,Nova Roma,,,LC,
912313551,,,,,,,,,,,,,,,,,,,,,,,,,,K000372576,,,,,,,,,,CC_BY_4_0,,,2006-06-28T12:20:01.667Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000372576,K000372576,2628,"Dubs, B.",,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1999-12-06T00:00:00,,,,1999,12,6,,Deciduous forest on calcareous rocks.,,,,,,"Cactus, common stem 60cm, branches erect, 10m high; outer tepals green, inner ones white; stamens, style and stigma creamy white.",,,,SOUTH_AMERICA,,,,BR,,,,"Mato Grosso, Serra das Araras, vale do Currupira, Mineracao Itaipu.",,,,,,,,,-15.38,-56.87,0.2,,,,,,,,,,label,,,,,,,,,,,,,,,,,,,,,,,,,Eggli,,,,,,,,,,,,,,Cereus hildmannianus K.Schum.,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Cereus,Cereus,,,hildmannianus,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:57:39.075Z,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,5384000,5384000,6,7707728,220,422,2519,3084079,,5384000,Cereus hildmannianus,Cereus hildmannianus K.Schum.,Cereus hildmannianus K.Schum.,,DWC_ARCHIVE,2023-06-07T14:57:39.075Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.12_1,Mato Grosso,BRA.12.111_2,Rosário Oeste,,,LC,
912241765,,,,,,,,,,,,,,,,,,,,,,,,,,K000275204,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:34:15.013Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000275204,K000275204,6010B,"Eiten, G. et al",,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,,,,,,,,,,-22.4,-50.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opuntia monacantha (Willd.) Haw.,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Opuntia,Opuntia,,,monacantha,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:15.772Z,500,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,5384142,5384142,6,7707728,220,422,2519,3084187,,5384142,Opuntia monacantha,Opuntia monacantha (Willd.) Haw.,Opuntia monacantha Haworth,,DWC_ARCHIVE,2023-06-07T14:58:15.772Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.25_1,São Paulo,BRA.25.402_2,Paraguaçu Paulista,,,LC,
912226699,,,,,,,,,,,,,,,,,,,,,,,,,,K000251526,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:33:33.337Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251526,K000251526,25517,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-11-09T00:00:00,,,,1988,11,9,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,Mun. Mato Verde. 12km de Mato Verde na estrada para Sto. Antonio do Retiro,,,,,,,,,-15.38,-42.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Melocactus concinnus Buining & Brederoo,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Melocactus,Melocactus,,,concinnus,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:28.177Z,950,50,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7280983,7280983,6,7707728,220,422,2519,5384242,,7280983,Melocactus concinnus,Melocactus concinnus Buining & Brederoo,Melocactus concinnus Buining & Brederoo,,DWC_ARCHIVE,2023-06-07T14:58:28.177Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.704_2,Santo Antônio do Retiro,,,LC,
912226692,,,,,,,,,,,,,,,,,,,,,,,,,,K000251517,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:33:31.977Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251517,K000251517,25148,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-10-17T00:00:00,,,,1988,10,17,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,Mun. Curral do Dentro. Rodovia entre Taiobeiras e Curral do Dentro perto do ponte sobre o rio Atoleiro,,,,,,,,,-15.88,-41.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Melocactus bahiensis subsp. amethystinus (Buining & Brederoo) N.P.Taylor,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Melocactus,Melocactus,,,bahiensis,amethystinus,,SUBSPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:57:38.424Z,825,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,5621924,5621924,6,7707728,220,422,2519,5384242,,7281086,Melocactus bahiensis,Melocactus bahiensis subsp. amethystinus (Buining & Brederoo) N.P.Taylor,Melocactus bahiensis Buining & Bredero subsp. amethystinus,,DWC_ARCHIVE,2023-06-07T14:57:38.424Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.799_2,Taiobeiras,,,,
912226672,,,,,,,,,,,,,,,,,,,,,,,,,,K000251516,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:33:32.047Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251516,K000251516,25073,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-10-15T00:00:00,,,,1988,10,15,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Mun. Grao Mogol. Ca. 7km. Ao direcao sul da cidade, na estrada para Francisco Sa.",,,,,,,,,-16.62,-42.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Melocactus bahiensis subsp. amethystinus (Buining & Brederoo) N.P.Taylor,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Melocactus,Melocactus,,,bahiensis,amethystinus,,SUBSPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:15.065Z,750,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,5621924,5621924,6,7707728,220,422,2519,5384242,,7281086,Melocactus bahiensis,Melocactus bahiensis subsp. amethystinus (Buining & Brederoo) N.P.Taylor,Melocactus bahiensis (Britton & Rose)Luetzelburg subsp. amethystinus (Buining & Brederoo)N.P.Taylor,,DWC_ARCHIVE,2023-06-07T14:58:15.065Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.225_2,Cristália,,,,
912226661,,,,,,,,,,,,,,,,,,,,,,,,,,K000251522,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:33:39.287Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251522,K000251522,25505,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-11-04T00:00:00,,,,1988,11,4,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Mun. Bocaiuva. Estrada de terra de Engenheiro Dolabela a estrada asfaltada, 500m da entrada",,,,,,,,,-17.47,-44.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Melocactus levitestatus Buining & Brederoo,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Melocactus,Melocactus,,,levitestatus,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:57:35.127Z,600,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7280606,7280606,6,7707728,220,422,2519,5384242,,7280606,Melocactus levitestatus,Melocactus levitestatus Buining & Brederoo,Melocactus levitestatus Buining & Bred.,,DWC_ARCHIVE,2023-06-07T14:57:35.127Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.78_2,Bocaiúva,,,LC,
912226653,,,,,,,,,,,,,,,,,,,,,,,,,,K000251520,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:33:39.220Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251520,K000251520,25505,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-11-04T00:00:00,,,,1988,11,4,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Mun. Bocaiuva. Estrada de terra de Engenheiro Dolabela a estrada  asfaltada, 500m da entrada.",,,,,,,,,-17.47,-44.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Melocactus levitestatus Buining & Brederoo,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Melocactus,Melocactus,,,levitestatus,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:27.825Z,600,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7280606,7280606,6,7707728,220,422,2519,5384242,,7280606,Melocactus levitestatus,Melocactus levitestatus Buining & Brederoo,Melocactus levitestatus Buining & Brederoo,,DWC_ARCHIVE,2023-06-07T14:58:27.825Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.78_2,Bocaiúva,,,LC,
912226638,,,,,,,,,,,,,,,,,,,,,,,,,,K000251515,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:33:31.907Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251515,K000251515,25073a,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-10-15T00:00:00,,,,1988,10,15,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,Mun. Grao Mogol. Ca. 7km ao direcao sul da cidade na estrada para Francisco Sa.,,,,,,,,,-16.62,-42.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Melocactus bahiensis subsp. amethystinus (Buining & Brederoo) N.P.Taylor,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Melocactus,Melocactus,,,bahiensis,amethystinus,,SUBSPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:57:38.420Z,750,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,5621924,5621924,6,7707728,220,422,2519,5384242,,7281086,Melocactus bahiensis,Melocactus bahiensis subsp. amethystinus (Buining & Brederoo) N.P.Taylor,Melocactus bahiensis (Britton & Rose)Luetzelburg subsp. amethystinus (Buining & Brederoo)N.P.Taylor,,DWC_ARCHIVE,2023-06-07T14:57:38.420Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.225_2,Cristália,,,,
912226560,,,,,,,,,,,,,,,,,,,,,,,,,,K000251411,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:33:06.397Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251411,K000251411,25521,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-11-09T00:00:00,,,,1988,11,9,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,Mun. Rio Pardo de Minas. 12km de Mato Verde na estrada para Sto Antonio do Retiro.,,,,,,,,,-15.38,-42.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Leocereus bahiensis Britton & Rose,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Leocereus,Leocereus,,,bahiensis,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:15.074Z,950,50,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7280032,7280032,6,7707728,220,422,2519,7280023,,7280032,Leocereus bahiensis,Leocereus bahiensis Britton & Rose,Leocereus bahiensis Britt & Rose,,DWC_ARCHIVE,2023-06-07T14:58:15.074Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.704_2,Santo Antônio do Retiro,,,LC,
