id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
"447285",2013-11-03 12:09:59 PM BRT,2013-11-03,2013-11-03 14:09:59 UTC,Brasilia,"24065",henriquepaprocki,Henrique Paprocki,2013-11-04 01:05:17 UTC,2021-02-28 20:37:15 UTC,research,,http://www.inaturalist.org/observations/447285,https://static.inaturalist.org/photos/581815/medium.jpg,,,comest?vel,"3","0",false,"2","Rio Preto, Felisberto Caldeira, BR-MG, BR",-18.14679548,-43.36963231,"8",,,,"8",,open,false,gps,gps,Cipocereus minensis,Cipocereus minensis,Tuna-da-lapa,Plantae,"340980"
"7393172",2013/09/30 7:07 PM +0300,2013-09-30,2013-09-30 16:07:00 UTC,Baghdad,"521092",bewambay,,2017-08-07 16:12:08 UTC,2023-02-04 17:31:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7393172,https://inaturalist-open-data.s3.amazonaws.com/photos/9597655/medium.jpg,,,,"4","0",false,,"Jaboticatubas - State of Minas Gerais, Brazil",-19.3742975359,-43.5405590028,"12332",,,,"12332",,open,false,,,Pilosocereus aurisetus,Pilosocereus aurisetus,Facheiro-da-serra,Plantae,"442087"
"7405403",Fri Aug 04 2017 11:28:12 GMT-0300 (GMT-3),2017-08-04,2017-08-04 14:28:12 UTC,Brasilia,"570440",paulo14,Paulo Marcelo de Souza,2017-08-08 12:10:03 UTC,2022-08-16 09:41:19 UTC,research,,https://www.inaturalist.org/observations/7405403,https://static.inaturalist.org/photos/9617228/medium.jpg,,,,"3","0",false,"3","39100, Diamantina, MG, BR",-18.18083,-43.6186,,,,,,,open,false,,,Cipocereus minensis,Cipocereus minensis,Tuna-da-lapa,Plantae,"340980"
"9527643",2008/11/22 11:08 AM -02,2008-11-22,,Brasilia,"574110",meiterer,Marinês Eiterer,2018-01-19 12:35:34 UTC,2023-03-29 15:45:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9527643,https://inaturalist-open-data.s3.amazonaws.com/photos/12991669/medium.jpeg,,,,"2","0",false,,"Diamantina - MG, 39100-000, Brasil",-18.2417866,-43.6035055,"104192",,,,"104192",,open,false,,,Cipocereus minensis,Cipocereus minensis,Tuna-da-lapa,Plantae,"340980"
"9541948",2008/11/22 12:04 PM -02,2008-11-22,,Brasilia,"574110",meiterer,Marinês Eiterer,2018-01-20 23:02:22 UTC,2023-03-29 15:44:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9541948,https://inaturalist-open-data.s3.amazonaws.com/photos/13016566/medium.jpeg,,,,"5","0",false,,"Diamantina - MG, 39100-000, Brasil",-18.2417866,-43.6035055,"104192",,,,"104192",,open,false,,,Discocactus placentiformis,Discocactus placentiformis,,Plantae,"191674"
"11090729",2016-03-04 3:12:12 p.m. GMT-03:00,2016-03-04,2016-03-04 12:12:12 UTC,Baghdad,"852584",claudio40,Claudio De Oliveira,2018-04-18 00:56:09 UTC,2023-03-25 21:33:53 UTC,research,,https://www.inaturalist.org/observations/11090729,https://static.inaturalist.org/photos/15663044/medium.jpeg,,,,"5","1",false,"2","Alto Paraíso de Goiás, BR-GO, BR",-14.1570563117,-47.4620282115,"52",,,,"30981",,obscured,true,,,Discocactus catingicola,Discocactus catingicola,,Plantae,"191671"
"12266762",2010/03/24 12:03 PM UTC,2010-03-24,2010-03-24 12:03:00 UTC,UTC,"824095",diogoloretto,Diogo Loretto,2018-05-08 15:53:42 UTC,2023-04-08 18:09:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12266762,https://static.inaturalist.org/photos/17639521/medium.jpeg,,,,"3","0",false,,"Tocantins, BR",-7.8744341686,-48.2540652236,"122",,,,"31302",,obscured,true,,,Cereus mirabella,Cereus mirabella,Mandacaru-de-Mirabela,Plantae,"190472"
"14012333",2017/05/14 11:23 AM -03,2017-05-14,,Brasilia,"157358",andre_menegotto,André Menegotto,2018-07-03 15:12:20 UTC,2021-02-28 20:35:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14012333,https://inaturalist-open-data.s3.amazonaws.com/photos/20727285/medium.jpg,,,,"3","0",false,,"Pirenópolis - GO, Brasil",-15.8419785121,-48.9064269252,"5",,,,"5",,open,false,,,Pilosocereus vilaboensis,Pilosocereus vilaboensis,Facheiro-amarelo,Plantae,"442118"
"25266150",2014/08/10 1:14 PM PDT,2014-08-10,2014-08-10 20:14:00 UTC,Pacific Time (US & Canada),"536",virusmanbob,Robert Siegel,2019-05-17 16:05:47 UTC,2023-04-02 10:15:43 UTC,research,,https://www.inaturalist.org/observations/25266150,https://static.inaturalist.org/photos/39115715/medium.jpg,,,,"3","0",false,,"Chapada dos Guimarães - State of Mato Grosso, Brazil",-15.4639898,-55.749869,"138283",,,,"138283",,open,false,,,Arthrocereus spinosissimus,Arthrocereus spinosissimus,Mandacarim-espinhoso,Plantae,"437302"
"26086257",2016/06/14 11:08 AM -03,2016-06-14,,Brasilia,"1729870",edenfontes,Eden Fontes,2019-05-30 23:37:21 UTC,2023-04-02 10:15:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26086257,https://inaturalist-open-data.s3.amazonaws.com/photos/40473880/medium.jpg,,"Cacto, Maranhão e Piauí, PI, PN de Sete Cidades, Piracuruca, flora",,"2","0",false,,"Piracuruca - PI, Brasil",-4.1005751487,-41.7126846313,"488",,,,"488",,open,false,,,Xiquexique gounellei gounellei,Xiquexique gounellei gounellei,Xique-Xique,Plantae,"1421402"
