gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,eventType
912502882,,,,,,,,,,,,,,,,,,,,,,,,,,K000634442,,,,,,,,,,CC_BY_4_0,,,2013-04-10T14:03:56.260Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000634442,K000634442,1586,"Magenta, M.; Conffani-Nunes, J.V.; Kameyama, C.; Forzza, R.C.",,,,,,,,,,,,,PRESENT,,,,,,,,Material prensado em álcool.,,,,,,,,,,,2000-07-31T00:00:00,,,,2000,7,31,,,,,,,,Planta rupícula. Flores róseas com estemes cremes.,,,Nova Roma,SOUTH_AMERICA,,,,BR,,,Nova Roma,Estrada Nova Roma - Teresina de Goiás,,,,,,,,,-13.65,-47,0.2,,,,,,,,,,label,,,,,,,,,,,,,,,,,,,,,,,,,"Zappi, D.C.",,,,,,,,,,,,,,Arrojadoa rhodantha (Gürke) Britton & Rose,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Arrojadoa,Arrojadoa,,,rhodantha,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:27.367Z,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7282709,7282709,6,7707728,220,422,2519,3231933,,7282709,Arrojadoa rhodantha,Arrojadoa rhodantha (Gürke) Britton & Rose,Arrojadoa rhodantha (Guerke) Britton & Rose,,DWC_ARCHIVE,2023-06-07T14:58:27.367Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.9_1,Goiás,BRA.9.164_2,Nova Roma,,,LC,
912313551,,,,,,,,,,,,,,,,,,,,,,,,,,K000372576,,,,,,,,,,CC_BY_4_0,,,2006-06-28T12:20:01.667Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000372576,K000372576,2628,"Dubs, B.",,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1999-12-06T00:00:00,,,,1999,12,6,,Deciduous forest on calcareous rocks.,,,,,,"Cactus, common stem 60cm, branches erect, 10m high; outer tepals green, inner ones white; stamens, style and stigma creamy white.",,,,SOUTH_AMERICA,,,,BR,,,,"Mato Grosso, Serra das Araras, vale do Currupira, Mineracao Itaipu.",,,,,,,,,-15.38,-56.87,0.2,,,,,,,,,,label,,,,,,,,,,,,,,,,,,,,,,,,,Eggli,,,,,,,,,,,,,,Cereus hildmannianus K.Schum.,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Cereus,Cereus,,,hildmannianus,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:57:39.075Z,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,5384000,5384000,6,7707728,220,422,2519,3084079,,5384000,Cereus hildmannianus,Cereus hildmannianus K.Schum.,Cereus hildmannianus K.Schum.,,DWC_ARCHIVE,2023-06-07T14:57:39.075Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.12_1,Mato Grosso,BRA.12.111_2,Rosário Oeste,,,LC,
912226481,,,,,,,,,,,,,,,,,,,,,,,,,,K000251297,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:31:21.320Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251297,K000251297,24994,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-10-13T00:00:00,,,,1988,10,13,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Buenópolis. Serra do Cabral, a 7 km da cidade, na estrada para a Barreira da Lapa.",,,,,,,,,-17.88,-44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Arthrocereus rondonianus Backeb. & Voll,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Arthrocereus,Arthrocereus,,,rondonianus,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:57:35.119Z,1150,50,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,3952729,3952729,6,7707728,220,422,2519,3946831,,3952729,Arthrocereus rondonianus,Arthrocereus rondonianus Backeb. & Voll,Arthrocereus rondonianus Backberg & Voll,,DWC_ARCHIVE,2023-06-07T14:57:35.119Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.99_2,Buenópolis,,,LC,
912226435,,,,,,,,,,,,,,,,,,,,,,,,,,K000251296,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:31:21.390Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251296,K000251296,24989,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-10-13T00:00:00,,,,1988,10,13,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Buenópolis. Serra do Cabral, a 6 km da cidade, na estrada para a Barreira da Lapa.",,,,,,,,,-17.88,-44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Arthrocereus rondonianus Backeb. & Voll,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Arthrocereus,Arthrocereus,,,rondonianus,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:15.058Z,900,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,3952729,3952729,6,7707728,220,422,2519,3946831,,3952729,Arthrocereus rondonianus,Arthrocereus rondonianus Backeb. & Voll,Arthrocereus rondonianus Backberg & Voll,,DWC_ARCHIVE,2023-06-07T14:58:15.058Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.99_2,Buenópolis,,,LC,
912226433,,,,,,,,,,,,,,,,,,,,,,,,,,K000251270,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:31:54.690Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251270,K000251270,24993,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-10-13T00:00:00,,,,1988,10,13,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Mun.: Buenópolis. Serra do Cabral, a 7 km da cidade, na estrada para a Barreira da Lapa.",,,,,,,,,-17.88,-44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Discocactus placentiformis Schum.,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Discocactus,Discocactus,,,placentiformis,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:57:38.492Z,1150,50,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7281934,7281934,6,7707728,220,422,2519,8022255,,7281934,Discocactus placentiformis,Discocactus placentiformis Schum.,Discocactus placentiformis (Lehmann)Schumann,,DWC_ARCHIVE,2023-06-07T14:57:38.492Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.99_2,Buenópolis,,,LC,
912226407,,,,,,,,,,,,,,,,,,,,,,,,,,K000251269,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:31:54.617Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251269,K000251269,24988,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-10-13T00:00:00,,,,1988,10,13,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Mun.: Buenópolis. Serra do Cabral, a 6 km da cidade, na estrada para a Barreira da Lapa.",,,,,,,,,-17.88,-44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPT,,,,,,,,,,,,,,Discocactus placentiformis Schum.,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Discocactus,Discocactus,,,placentiformis,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:15.069Z,900,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7281934,7281934,6,7707728,220,422,2519,8022255,,7281934,Discocactus placentiformis,Discocactus placentiformis Schum.,Discocactus placentiformis (Lehmann)Schumann,,DWC_ARCHIVE,2023-06-07T14:58:15.069Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.99_2,Buenópolis,,,LC,
912226406,,,,,,,,,,,,,,,,,,,,,,,,,,K000251271,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:31:55.607Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251271,K000251271,700,Splett,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1994-09-26T00:00:00,,,,1994,9,26,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"estrada Diamantina-Medanha, 5.5 km ao norte de Diamantina.",,,,,,,,,-18.18,-44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discocactus placentiformis Schum.,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Discocactus,Discocactus,,,placentiformis,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:57:38.282Z,1200,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7281934,7281934,6,7707728,220,422,2519,8022255,,7281934,Discocactus placentiformis,Discocactus placentiformis Schum.,Discocactus placentiformis (Lehmann)Schumann,,DWC_ARCHIVE,2023-06-07T14:57:38.282Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.211_2,Corinto,,,LC,
912226392,,,,,,,,,,,,,,,,,,,,,,,,,,K000251245,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:31:54.303Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000251245,K000251245,6503,Ramos et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1967-09-24T00:00:00,,,,1967,9,24,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Near Olaria, just s.w. of Xavantina (Bar near Village Ridge transect).",,,,,,,,,-14.63,-52.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discocactus heptacanthus (Rodr.) Britton & Rose,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Discocactus,Discocactus,,,heptacanthus,,,SPECIES,,,,ACCEPTED,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:27.811Z,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,7282040,7282040,6,7707728,220,422,2519,8022255,,7282040,Discocactus heptacanthus,Discocactus heptacanthus (Rodr.) Britton & Rose,Discocactus heptacanthus (Rodrigues)Britton & Rose,,DWC_ARCHIVE,2023-06-07T14:58:27.811Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.12_1,Mato Grosso,BRA.12.84_2,Nova Xavantina,,,NT,
912148391,,,,,,,,,,,,,,,,,,,,,,,,,,K000101829,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:35:00.407Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000101829,K000101829,24909,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-10-12T00:00:00,,,,1988,10,12,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Mun.: Beunopolis. Serra do Cabral, a 7 km da cidade.",,,,,,,,,-17.88,-44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCZ,,,,,,,,,,,,,,Pilosocereus aurisetus subsp. aurilanatus (F.Ritter) Zappi,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Pilosocereus,Pilosocereus,,,aurisetus,aurilanatus,,SUBSPECIES,,,,SYNONYM,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:58:23.908Z,950,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,3959910,3959927,6,7707728,220,422,2519,3084370,,3959927,Pilosocereus aurilanatus,Pilosocereus aurilanatus F.Ritter,Pilosocereus aurisetus (Werderm.)Byles & G.D.Rowley subsp. aurilanatus (Ritter)Zappi,,DWC_ARCHIVE,2023-06-07T14:58:23.908Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.99_2,Buenópolis,,,,
912148356,,,,,,,,,,,,,,,,,,,,,,,,,,K000101830,,,,,,,,,,CC_BY_4_0,,,2005-08-23T09:35:00.330Z,,,,,,,,,,,,,,,,,,,,K,Herbarium,,,PRESERVED_SPECIMEN,,,,http://specimens.kew.org/herbarium/K000101830,K000101830,24909,Harley et al,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1988-10-12T00:00:00,,,,1988,10,12,,,,,,,,,,,,SOUTH_AMERICA,,,,BR,,,,"Mun.: Buenopolis. Serra do Cabral, a 7 km da cidade.",,,,,,,,,-17.88,-44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCZ,,,,,,,,,,,,,,Pilosocereus aurisetus subsp. aurilanatus (F.Ritter) Zappi,,,,,,,CACTACEAE,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,,Pilosocereus,Pilosocereus,,,aurisetus,aurilanatus,,SUBSPECIES,,,,SYNONYM,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,GB,2023-06-07T14:57:34.572Z,950,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,3959910,3959927,6,7707728,220,422,2519,3084370,,3959927,Pilosocereus aurilanatus,Pilosocereus aurilanatus F.Ritter,Pilosocereus aurisetus (Werderm.)Byles & G.D.Rowley subsp. aurilanatus (Ritter)Zappi,,DWC_ARCHIVE,2023-06-07T14:57:34.572Z,2023-01-07T23:48:17.753Z,true,,BRA,Brazil,BRA.13_1,Minas Gerais,BRA.13.99_2,Buenópolis,,,,
